Date,Open,High,Low,Close,Adj Close,Volume
2015-09-10,61200.000000,62500.000000,60900.000000,62300.000000,62300.000000,14931
2015-09-11,61800.000000,62600.000000,61300.000000,61500.000000,61500.000000,14381
2015-09-14,61500.000000,62000.000000,61200.000000,61200.000000,61200.000000,9595
2015-09-15,61300.000000,61800.000000,60800.000000,61100.000000,61100.000000,11020
2015-09-16,61100.000000,61600.000000,60000.000000,60400.000000,60400.000000,16947
2015-09-17,60200.000000,62300.000000,60200.000000,61700.000000,61700.000000,23876
2015-09-18,62000.000000,62300.000000,61000.000000,62300.000000,62300.000000,14864
2015-09-21,62200.000000,62400.000000,60500.000000,62300.000000,62300.000000,11533
2015-09-22,62600.000000,62600.000000,61500.000000,61600.000000,61600.000000,9441
2015-09-23,61600.000000,62000.000000,60600.000000,61000.000000,61000.000000,13268
2015-09-24,61000.000000,61700.000000,60600.000000,61600.000000,61600.000000,9828
2015-09-25,61600.000000,62000.000000,60600.000000,60700.000000,60700.000000,10516
2015-09-30,60500.000000,60700.000000,59600.000000,59800.000000,59800.000000,6173
2015-10-01,59600.000000,60800.000000,59600.000000,60500.000000,60500.000000,6715
2015-10-02,60600.000000,63300.000000,60500.000000,63100.000000,63100.000000,43694
2015-10-05,65000.000000,69000.000000,64800.000000,67500.000000,67500.000000,122851
2015-10-06,67500.000000,68200.000000,65700.000000,67200.000000,67200.000000,49973
2015-10-07,67100.000000,67100.000000,64900.000000,65400.000000,65400.000000,24467
2015-10-08,64700.000000,65300.000000,62900.000000,63800.000000,63800.000000,24978
